projectId,projectCode,projectName,currentCompanyId,suggestedCompanyId,evidence,confidence,ownerDecision,approvedCompanyId,decisionReason,approvedBy,approvedAt,action
project-battrang,project-battrang,Trường mầm non Bát Tràng,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
091ba671-4cdf-4b8d-84c7-240d21692824,091ba671-4cdf-4b8d-84c7-240d21692824,Project TEST_PHASE2_3B_HARDENING_1779953123540,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
7c8fa82c-1344-4a49-881d-7e0d38267b63,7c8fa82c-1344-4a49-881d-7e0d38267b63,Project TEST_PHASE2_3B_HARDENING_1779953160979,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
c1f8d981-2be1-438f-8eec-82dea6ac687e,c1f8d981-2be1-438f-8eec-82dea6ac687e,Project TEST_PHASE2_3B_HARDENING_1779953268719,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
975c1f22-5aaa-418f-9696-c68cbc3cd283,975c1f22-5aaa-418f-9696-c68cbc3cd283,Project TEST_PHASE2_3B_HARDENING_1779953401728,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
b36f16ef-0419-4aba-a405-6e174f475d8f,b36f16ef-0419-4aba-a405-6e174f475d8f,Project TEST_PHASE2_3B_HARDENING_1779953501203,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
51644eab-34d4-446d-8843-a3c69b593e4a,51644eab-34d4-446d-8843-a3c69b593e4a,Project TEST_PHASE2_3B_HARDENING_1779953734199,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
f2ee65a1-d338-4cef-9cc5-2cc3c453f2e8,f2ee65a1-d338-4cef-9cc5-2cc3c453f2e8,Project TEST_PHASE2_3B_HARDENING_1779953871854,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
89dfb5f8-330c-434c-a12a-a78c81267158,89dfb5f8-330c-434c-a12a-a78c81267158,Project TEST_PHASE2_3B_HARDENING_1779954022218,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
6986c4d0-8eb0-4f43-96cc-a9463e86c5ab,6986c4d0-8eb0-4f43-96cc-a9463e86c5ab,Project TEST_PHASE2_3B_HARDENING_1779954051332,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
c6ebeb6b-dfec-43fb-ae9e-282d266a3deb,c6ebeb6b-dfec-43fb-ae9e-282d266a3deb,Project TEST_PHASE2_3B_HARDENING_1779954487869,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
d5c0b467-fdb9-4668-8d12-796fff4288cf,d5c0b467-fdb9-4668-8d12-796fff4288cf,Project TEST_PHASE2_3B_HARDENING_1779954531626,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
b0d32c00-1711-4e0e-8ae5-917905eb6d47,b0d32c00-1711-4e0e-8ae5-917905eb6d47,Project TEST_PHASE2_3B_HARDENING_1779954729510,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
3f579fe6-5aad-4348-b49d-411f121e6cb1,3f579fe6-5aad-4348-b49d-411f121e6cb1,Project TEST_PHASE2_3B_HARDENING_1779954769748,,,Không có bằng chứng companyId từ branch hoặc chứng từ liên quan; không dùng default company để tránh đoán dữ liệu.,MANUAL_REVIEW,MANUAL_REVIEW,,,,,REVIEW_LATER
